Tue Jul  9 09:52:18 2024    output.prof

         22057664 function calls (20662531 primitive calls) in 18.189 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  855/843    0.002    0.000    0.488    0.001 /opt/homebrew/lib/python3.11/site-packages/numba/core/typeinfer.py:704(__call__)
328100/165503    0.090    0.000    0.466    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:463(format)
      664    0.001    0.000    0.454    0.001 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/module.py:233(__repr__)
9183/5804    0.012    0.000    0.451    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/functools.py:981(__get__)
      664    0.001    0.000    0.449    0.001 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/module.py:207(_get_body_lines)
      124    0.000    0.000    0.448    0.004 /opt/homebrew/lib/python3.11/site-packages/numba/typed/typedlist.py:341(append)
      664    0.002    0.000    0.447    0.001 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/module.py:212(<listcomp>)
537534/92895    0.326    0.000    0.438    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/ir.py:318(_rec_list_vars)
     1834    0.001    0.000    0.428    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/values.py:1013(__str__)
     1834    0.001    0.000    0.426    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/values.py:1006(descr)
328100/165503    0.160    0.000    0.417    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:551(_safe_repr)
     3618    0.084    0.000    0.411    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:377(_format_dict_items)
385825/186473    0.106    0.000    0.406    0.000 {method 'format' of 'str' objects}
      132    0.002    0.000    0.396    0.003 /opt/homebrew/lib/python3.11/site-packages/numba/core/compiler.py:390(__init__)
 1130/884    0.001    0.000    0.392    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/typing/context.py:153(refresh)
    77244    0.019    0.000    0.390    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/ir.py:351(list_vars)
217833/92623    0.058    0.000    0.388    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/_utils.py:44(__str__)
 1047/959    0.001    0.000    0.387    0.000 <frozen importlib._bootstrap>:1165(_find_and_load)
   135/47    0.000    0.000    0.386    0.008 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
      224    0.001    0.000    0.384    0.002 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/values.py:999(descr_body)
     5374    0.006    0.000    0.383    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/values.py:1172(descr)
   132/46    0.000    0.000    0.382    0.008 <frozen importlib._bootstrap>:666(_load_unlocked)
   128/46    0.000    0.000    0.381    0.008 <frozen importlib._bootstrap_external>:934(exec_module)
     5374    0.008    0.000    0.372    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/values.py:1174(<listcomp>)
173019/162825    0.032    0.000    0.367    0.000 {built-in method builtins.next}
   327/59    0.000    0.000    0.355    0.006 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    37629    0.136    0.000    0.353    0.000 {built-in method builtins.sorted}
      208    0.001    0.000    0.344    0.002 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:732(add_llvm_module)
    57/55    0.000    0.000    0.342    0.006 /opt/homebrew/lib/python3.11/site-packages/numba/core/types/functions.py:389(get_call_type)
       14    0.001    0.000    0.340    0.024 /opt/homebrew/lib/python3.11/site-packages/numba/core/typing/templates.py:1129(generic)
       21    0.000    0.000    0.340    0.016 /opt/homebrew/lib/python3.11/site-packages/numba/core/typing/templates.py:1075(_get_signature)
      485    0.000    0.000    0.337    0.001 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:719(add_linking_library)
    62445    0.055    0.000    0.332    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/values.py:544(_to_string)
      136    0.005    0.000    0.325    0.002 /opt/homebrew/lib/python3.11/site-packages/numba/core/interpreter.py:1361(interpret)
   133276    0.069    0.000    0.322    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/event.py:209(broadcast)
  998/788    0.001    0.000    0.322    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/base.py:261(refresh)
      208    0.005    0.000    0.319    0.002 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:651(_optimize_functions)
     1352    0.048    0.000    0.316    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/analysis.py:23(compute_use_defs)
      132    0.000    0.000    0.313    0.002 /opt/homebrew/lib/python3.11/site-packages/numba/core/untyped_passes.py:79(run_pass)
  228/207    0.002    0.000    0.301    0.001 /opt/homebrew/lib/python3.11/site-packages/numba/core/lowering.py:726(lower_binop)
       62    0.000    0.000    0.282    0.005 /opt/homebrew/lib/python3.11/site-packages/numba/core/lowering.py:286(create_cfunc_wrapper)
       62    0.002    0.000    0.282    0.005 /opt/homebrew/lib/python3.11/site-packages/numba/core/cpu.py:193(create_cfunc_wrapper)
      268    0.009    0.000    0.280    0.001 /opt/homebrew/lib/python3.11/site-packages/numba/core/rewrites/registry.py:54(apply)
    58406    0.024    0.000    0.278    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/binding/ffi.py:78(__exit__)
     1214    0.001    0.000    0.276    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/postproc.py:42(usedefs)
    60557    0.050    0.000    0.275    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/instructions.py:13(__init__)
       69    0.001    0.000    0.273    0.004 /opt/homebrew/lib/python3.11/site-packages/numba/np/npyimpl.py:478(numpy_ufunc_kernel)
      132    0.001    0.000    0.271    0.002 /opt/homebrew/lib/python3.11/site-packages/numba/core/untyped_passes.py:212(run_pass)
    66638    0.039    0.000    0.267    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/event.py:404(end_event)
49181/48990    0.026    0.000    0.264    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
    77827    0.031    0.000    0.253    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/values.py:537(__init__)
      998    0.010    0.000    0.252    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/cpu.py:60(load_additional_registries)
10170/7956    0.015    0.000    0.251    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/typing/context.py:428(install_registry)
    58406    0.015    0.000    0.250    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/base.py:1249(exit_fn)
        2    0.000    0.000    0.248    0.124 /opt/homebrew/lib/python3.11/site-packages/numba/typed/typedlist.py:298(_initialise_list)
        2    0.000    0.000    0.246    0.123 /opt/homebrew/lib/python3.11/site-packages/numba/typed/typedlist.py:270(_parse_arg)
   256150    0.103    0.000    0.244    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/event.py:243(notify)
3347605/3347597    0.190    0.000    0.237    0.000 {built-in method builtins.isinstance}
    56/39    0.000    0.000    0.229    0.006 {built-in method builtins.__import__}
    58406    0.023    0.000    0.228    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/binding/ffi.py:72(__enter__)
  358/148    0.001    0.000    0.227    0.002 /opt/homebrew/lib/python3.11/site-packages/numba/core/typing/templates.py:899(_get_target_registry)
 1130/884    0.002    0.000    0.223    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/typing/context.py:415(_load_builtins)
       13    0.000    0.000    0.223    0.017 /opt/homebrew/lib/python3.11/site-packages/numba/core/lowering.py:273(create_cpython_wrapper)
       13    0.000    0.000    0.223    0.017 /opt/homebrew/lib/python3.11/site-packages/numba/core/cpu.py:181(create_cpython_wrapper)
    80704    0.031    0.000    0.222    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/values.py:557(_set_name)
        2    0.000    0.000    0.217    0.108 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/plotter.py:6722(show)
    16200    0.016    0.000    0.213    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/builder.py:967(extract_value)
    66638    0.039    0.000    0.213    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/event.py:390(start_event)
      136    0.001    0.000    0.210    0.002 /opt/homebrew/lib/python3.11/site-packages/numba/core/untyped_passes.py:1762(run_pass)
   246/36    0.000    0.000    0.210    0.006 /opt/homebrew/lib/python3.11/site-packages/numba/core/typing/templates.py:1046(__init__)
   239/34    0.000    0.000    0.209    0.006 /opt/homebrew/lib/python3.11/site-packages/numba/core/typing/templates.py:1092(_init_once)
    44584    0.014    0.000    0.207    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/ir.py:608(list_vars)
     4929    0.007    0.000    0.206    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/runtime/context.py:360(_call_incref_decref)
    58406    0.015    0.000    0.200    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/base.py:1246(enter_fn)
       39    0.001    0.000    0.192    0.005 /opt/homebrew/lib/python3.11/site-packages/numba/np/npyimpl.py:372(_build_array)
    80704    0.031    0.000    0.191    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/_utils.py:16(register)
      132    0.001    0.000    0.190    0.001 /opt/homebrew/lib/python3.11/site-packages/numba/core/typed_passes.py:226(run_pass)
    16200    0.012    0.000    0.189    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/instructions.py:666(__init__)
  136/132    0.003    0.000    0.188    0.001 /opt/homebrew/lib/python3.11/site-packages/numba/core/inline_closurecall.py:88(run)
       74    0.000    0.000    0.187    0.003 /opt/homebrew/lib/python3.11/site-packages/numba/core/lowering.py:796(lower_getitem)
    17556    0.009    0.000    0.184    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/binding/module.py:220(__next__)
        2    0.183    0.092    0.183    0.092 {built-in method gc.collect}
       62    0.000    0.000    0.182    0.003 /opt/homebrew/lib/python3.11/site-packages/numba/typed/typedlist.py:365(__getitem__)
15134/4929    0.018    0.000    0.182    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/runtime/context.py:343(get_meminfos)
     1130    0.004    0.000    0.179    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/typing/context.py:744(load_additional_registries)
       16    0.000    0.000    0.178    0.011 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/plotter.py:1976(render)
        2    0.177    0.089    0.177    0.089 {method 'Render' of 'vtkmodules.vtkRenderingOpenGL2.vtkCocoaRenderWindow' objects}
      128    0.001    0.000    0.167    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
        3    0.000    0.000    0.164    0.055 /opt/homebrew/lib/python3.11/site-packages/numba/cpython/numbers.py:206(int_power_impl)
     1834    0.001    0.000    0.162    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/binding/passmanagers.py:758(run)
637544/636695    0.074    0.000    0.161    0.000 {built-in method builtins.getattr}
39033/33956    0.010    0.000    0.160    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:132(__enter__)
      132    0.000    0.000    0.156    0.001 /opt/homebrew/lib/python3.11/site-packages/numba/core/untyped_passes.py:244(run_pass)
8211/7333    0.004    0.000    0.155    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/ir_utils.py:1542(guard)
      136    0.000    0.000    0.154    0.001 /opt/homebrew/lib/python3.11/site-packages/numba/core/ssa.py:27(reconstruct_ssa)
    78402    0.125    0.000    0.154    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/_utils.py:24(deduplicate)
      136    0.001    0.000    0.154    0.001 /opt/homebrew/lib/python3.11/site-packages/numba/core/ssa.py:48(_run_ssa)
       13    0.000    0.000    0.153    0.012 /opt/homebrew/lib/python3.11/site-packages/numba/core/callwrapper.py:101(build)
       13    0.000    0.000    0.153    0.012 /opt/homebrew/lib/python3.11/site-packages/numba/core/callwrapper.py:126(build_wrapper)
    10267    0.004    0.000    0.150    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/targetconfig.py:196(values)
      128    0.000    0.000    0.148    0.001 <frozen importlib._bootstrap_external>:1127(get_data)
    10267    0.030    0.000    0.146    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/targetconfig.py:199(<dictcomp>)
     2680    0.005    0.000    0.144    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/lowering.py:1506(delvar)
     3084    0.001    0.000    0.142    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/runtime/context.py:384(decref)
     2949    0.004    0.000    0.141    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/lowering.py:1562(decref)
      133    0.000    0.000    0.139    0.001 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:1412(_add_module)
      133    0.000    0.000    0.139    0.001 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:1094(add_module)
       55    0.001    0.000    0.136    0.002 /opt/homebrew/lib/python3.11/site-packages/numba/np/arrayobj.py:4175(_empty_nd_impl)
      133    0.001    0.000    0.135    0.001 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:1087(_load_defined_symbols)
      266    0.005    0.000    0.129    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:1091(<setcomp>)
       81    0.000    0.000    0.127    0.002 /opt/homebrew/lib/python3.11/site-packages/pyvista/__init__.py:81(__getattr__)
1855/1347    0.004    0.000    0.127    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/base.py:526(get_function)
      797    0.003    0.000    0.126    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/binding/module.py:11(parse_assembly)
        1    0.000    0.000    0.125    0.125 /opt/homebrew/lib/python3.11/site-packages/numba/np/arrayobj.py:2141(array_reshape_vararg)
        1    0.000    0.000    0.125    0.125 /opt/homebrew/lib/python3.11/site-packages/numba/np/arrayobj.py:2076(array_reshape)
        3    0.000    0.000    0.124    0.041 /opt/homebrew/lib/python3.11/site-packages/numba/np/arraymath.py:161(array_sum)
      128    0.124    0.001    0.124    0.001 {built-in method io.open_code}
    12247    0.010    0.000    0.123    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/binding/value.py:157(name)
      945    0.004    0.000    0.122    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/cgutils.py:99(__init__)
     1214    0.002    0.000    0.116    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/postproc.py:52(deadmaps)
       45    0.000    0.000    0.116    0.003 /opt/homebrew/lib/python3.11/site-packages/numba/np/arrayobj.py:497(getitem_array_tuple)
      133    0.000    0.000    0.114    0.001 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:1315(_scan_and_fix_unresolved_refs)
106607/72776    0.087    0.000    0.112    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/types/abstract.py:121(__hash__)
        1    0.000    0.000    0.112    0.112 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/__init__.py:1(<module>)
163926/163006    0.052    0.000    0.109    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/_utils.py:54(get_reference)
